Title,Artist,Featuring,Featured_Artist
I'm Not the Only One,Sam Smith,0,Sam Smith
Good for You,Selena Gomez ,1, ASAP Rocky
Style,Taylor Swift,0,Taylor Swift
Hotline Bling,Drake,0,Drake
Hey Mama,David Guetta ,1," Nicki Minaj, Bebe Rexha and Afrojack"
G.D.F.R.,Flo Rida ,1, Sage the Gemini and Lookas
What Do You Mean?,Justin Bieber,0,Justin Bieber
Photograph,Ed Sheeran,0,Ed Sheeran
Hello,Adele,0,Adele
Stitches,Shawn Mendes,0,Shawn Mendes
Talking Body,Tove Lo,0,Tove Lo
Jealous,Nick Jonas,0,Nick Jonas
Time of Our Lives,Pitbull and Ne-Yo,0,Pitbull and Ne-Yo
Locked Away,R. City ,1, Adam Levine
Somebody,Natalie La Rose ,1, Jeremih
FourFiveSeconds,"Rihanna, Kanye West and Paul McCartney",0,"Rihanna, Kanye West and Paul McCartney"
Centuries,Fall Out Boy,0,Fall Out Boy
My Way,Fetty Wap ,1, Monty
Take Your Time,Sam Hunt,0,Sam Hunt
I Don't Fuck with You,Big Sean ,1, E-40
Bitch Better Have My Money,Rihanna,0,Rihanna
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,0,Rich Homie Quan
Nasty Freestyle,T-Wayne,0,T-Wayne
Only,Nicki Minaj ,1," Drake, Lil Wayne and Chris Brown"
Elastic Heart,Sia,0,Sia
Cool for the Summer,Demi Lovato,0,Demi Lovato
Renegades,X Ambassadors,0,X Ambassadors
I Don't Mind,Usher ,1, Juicy J
Love Me Harder,Ariana Grande and The Weeknd,0,Ariana Grande and The Weeknd
Wildest Dreams,Taylor Swift,0,Taylor Swift
You Know You Like It,DJ Snake and AlunaGeorge,0,DJ Snake and AlunaGeorge
Uma Thurman,Fall Out Boy,0,Fall Out Boy
7/11,Beyoncé,0,Beyoncé
The Heart Wants What It Wants,Selena Gomez,0,Selena Gomez
Girl Crush,Little Big Town,0,Little Big Town
Slow Motion,Trey Songz,0,Trey Songz
Drag Me Down,One Direction,0,One Direction
Truffle Butter,Nicki Minaj ,1, Drake and Lil Wayne
One Last Time,Ariana Grande,0,Ariana Grande
Chains,Nick Jonas,0,Nick Jonas
All Eyes on You,Meek Mill ,1, Chris Brown and Nicki Minaj
No Type,Rae Sremmurd,0,Rae Sremmurd
Riptide,Vance Joy,0,Vance Joy
Classic Man,Jidenna ,1, Roman GianArthur
Ex's & Oh's,Elle King,0,Elle King
